,H,OMEGA_M,OMEGA_L,W0,WA,Z,ANGLE,ell0,ell1,ell2,ell3,ell4,ell5,ell6,ell7,ell8,ell9,ell10,ell11,ell12,ell13,ell14,ell15,ell16,ell17,ell18,ell19,ell20,ell21,ell22,ell23,ell24,ell25,ell26,ell27,ell28,ell29,ell30,ell31,ell32,ell33,ell34,ell35,ell36
0,0.72,0.3,0.7,-1.0,0.0,1.0,3.5,1.910698948836508e-09,0.0,0.0,1.2977868767260059e-08,0.0,0.0,1.851001119007041e-09,5.077178424672614e-09,0.0,0.0,3.773780926393732e-09,2.8141006849809716e-09,1.3212594701566434e-09,2.0214498822152283e-09,2.4980184752970682e-09,1.892005660891776e-09,1.2518605099141536e-09,1.8029648825773949e-09,1.8117110807733618e-09,9.833812681173215e-10,1.2441216198999972e-09,1.209399087215375e-09,9.682451748709232e-10,1.0353406482284044e-09,7.839904688284709e-10,5.411069606377402e-10,5.787189032556291e-10,5.580658595182621e-10,4.867830070760822e-10,3.79712404314408e-10,3.016410695818366e-10,2.485528269478491e-10,1.835079707636814e-10,1.562504182303817e-10,1.257807155276968e-10,1.1531423687903918e-10,8.711288984299181e-11
0,0.72,0.3,0.7,-1.0,0.0,1.0,3.5,4.932015021446065e-09,0.0,0.0,2.1681165304604215e-08,0.0,0.0,1.7598547953281172e-08,4.056980807780224e-09,0.0,0.0,5.8279594517169925e-09,1.9083089228638537e-09,4.48445565235719e-09,3.241662986199589e-09,1.5486905998461183e-09,1.8903642149500903e-09,1.3687817783820587e-09,2.2632912216320344e-09,1.0971666518720884e-09,1.490629248608989e-09,1.5257546332334668e-09,9.653312066893019e-10,9.76402049047487e-10,8.444387629331909e-10,7.445299464766733e-10,6.241082482592692e-10,4.881664126781894e-10,4.707410835997717e-10,4.1159412755699254e-10,3.6552656357321604e-10,2.9345264766562463e-10,2.6015836045707844e-10,1.9749357620732796e-10,1.7123501097081132e-10,1.2677838460871585e-10,1.1242242002049962e-10,8.821213363834937e-11
0,0.72,0.3,0.7,-1.0,0.0,1.0,3.5,1.1366826700644322e-08,0.0,0.0,4.5537944260448946e-09,0.0,0.0,6.445053633720145e-10,5.436298670340603e-09,0.0,0.0,3.773341878584175e-09,4.081739620228977e-09,1.879518814303707e-09,1.9036457083476123e-09,3.1833075912478876e-09,1.651235361401767e-09,2.1172948305882276e-09,2.25447970048065e-09,9.548563044995164e-10,1.4805712778052583e-09,1.2893280588183417e-09,9.6328550999242e-10,8.90946134786391e-10,7.441148478199235e-10,6.561593631005081e-10,5.745798003528554e-10,5.827237055148785e-10,5.775190269072285e-10,3.367584882134151e-10,3.1502738738731173e-10,2.7920108752488424e-10,2.1774057264599193e-10,1.6929018262410475e-10,1.4662349603459782e-10,1.1527585972190156e-10,9.748485906679772e-11,7.378925893276701e-11
0,0.72,0.3,0.7,-1.0,0.0,1.0,3.5,2.434999029577274e-08,0.0,0.0,1.7782620918007455e-08,0.0,0.0,5.525029456973588e-09,2.8682564386077207e-09,0.0,0.0,9.913293958232027e-10,1.1482353356947895e-09,2.0073328922889405e-09,2.4228354416594362e-09,1.37307823893315e-09,3.3894175419786907e-09,1.623880766324152e-09,1.619133072268628e-09,1.7123084484507037e-09,1.3233986850703803e-09,1.4973803848437861e-09,1.0590644611812682e-09,7.402396819440803e-10,7.581600716459956e-10,6.062812640962783e-10,5.561606443843933e-10,5.180683732292455e-10,4.341603566703633e-10,3.5853152204091565e-10,3.4257537423028703e-10,2.329087852840697e-10,2.258503344945268e-10,1.7457785160633974e-10,1.355023020768355e-10,1.2121010992807937e-10,1.0106984762136312e-10,7.799236363141973e-11
0,0.72,0.3,0.7,-1.0,0.0,1.0,3.5,1.8381518624698244e-08,0.0,0.0,2.66205151192733e-08,0.0,0.0,1.6193898797427995e-08,2.9807185450577385e-09,0.0,0.0,9.656351672903333e-09,4.465486245007236e-09,1.6942903776787275e-09,3.1531200567585917e-09,2.9562482029755575e-09,3.1875542855672633e-09,1.689852062545023e-09,2.1314099214453644e-09,1.5745408982809476e-09,1.2316397252440874e-09,1.2355500261059214e-09,9.394039413291995e-10,1.0058979026291743e-09,7.06592826535322e-10,7.070167648039142e-10,6.264467380259102e-10,5.106001488887269e-10,3.874690568717834e-10,4.0605784469819236e-10,3.6261480192921006e-10,2.9461264794869956e-10,2.434380684737106e-10,1.970431968265305e-10,1.6235943441828333e-10,1.1460346911523342e-10,1.037044476892113e-10,7.631833354189821e-11
0,0.72,0.3,0.7,-1.0,0.0,1.0,3.5,6.589425098889643e-09,0.0,0.0,5.13755098011228e-09,0.0,0.0,6.17576648480791e-09,3.928019395412347e-09,0.0,0.0,7.1435028063282796e-09,5.967764271445182e-09,2.119537594270528e-09,2.6085871761358694e-09,3.6687468570912076e-09,2.2333022959220158e-09,2.5426185813550918e-09,1.9101772834177932e-09,1.4438991259566812e-09,1.7250938789266304e-09,1.4278023781428185e-09,9.903377570991854e-10,1.0174036361319764e-09,7.926153762084023e-10,7.163325514392226e-10,4.703399500146908e-10,5.772752002261943e-10,4.137709975992461e-10,3.986702220478811e-10,3.0510470310603824e-10,2.516422346145336e-10,2.1250255939605462e-10,1.8162787802669596e-10,1.4455129137665693e-10,1.1588244884238123e-10,8.921476487337789e-11,7.324544071075485e-11
0,0.72,0.3,0.7,-1.0,0.0,1.0,3.5,8.476140883793566e-09,0.0,0.0,1.1820028752703259e-08,0.0,0.0,4.675506192014258e-09,4.8453038822543105e-09,0.0,0.0,7.956844935711834e-09,3.22391295360738e-09,1.3143256466652905e-08,1.4427950108985608e-09,5.140877285400501e-09,2.2551611531455146e-09,2.2603528462539704e-09,1.5062950190510826e-09,1.1994552536052287e-09,1.5895817565202083e-09,1.4075910021229626e-09,7.948790944079594e-10,1.0530332277676252e-09,1.0095522637233205e-09,7.2994009671004e-10,9.231220280739078e-10,5.525253476272476e-10,4.927786860018714e-10,4.0642977895470335e-10,4.276240341597916e-10,3.2696018846770726e-10,2.7196466498508517e-10,2.25623198338896e-10,1.6497317420250688e-10,1.5015411436081466e-10,1.1076486336079864e-10,9.087329923868175e-11
0,0.72,0.3,0.7,-1.0,0.0,1.0,3.5,5.51148359327583e-08,0.0,0.0,1.263470319819408e-08,0.0,0.0,1.128399061560494e-08,1.1848245323902342e-08,0.0,0.0,6.025620569393652e-09,3.0085366902460614e-09,5.299855366903551e-09,4.214516142149896e-09,2.7434206898596386e-09,4.004330925436521e-09,2.1962925540578793e-09,2.245104097511057e-09,1.053044031476245e-09,2.338280109514838e-09,1.0122173045169939e-09,1.5014903844956141e-09,9.799701781009052e-10,9.087881700948519e-10,6.470211994705641e-10,7.046881265611362e-10,7.571900403113452e-10,5.633461784874166e-10,4.700338696702379e-10,3.495707086874572e-10,3.2621641491124325e-10,2.2099809955114215e-10,2.089431818628328e-10,1.6576849182433315e-10,1.3952564099025164e-10,1.1421828910844579e-10,8.239886336695184e-11
0,0.72,0.3,0.7,-1.0,0.0,1.0,3.5,1.1834666376897627e-08,0.0,0.0,4.790256804204596e-09,0.0,0.0,4.515530117019517e-09,1.4049719580388398e-08,0.0,0.0,4.269187753596896e-09,7.77321592949012e-09,4.161283848443545e-09,3.328832369810231e-09,3.4613008865361233e-09,1.9469571744712897e-09,2.4626251226972742e-09,1.696775353453583e-09,1.358606187811631e-09,1.2927609960490652e-09,1.021797699058687e-09,1.0486075176069593e-09,9.104192147850141e-10,5.973085728938702e-10,6.342875661790891e-10,5.496089168830228e-10,5.65851276264837e-10,4.5234565257552776e-10,4.4270465730721263e-10,3.482765345029296e-10,2.913209801684741e-10,2.056585188314868e-10,1.6885675142681567e-10,1.4957296121204755e-10,1.213933008816944e-10,1.0757259900308212e-10,8.134607156644569e-11
0,0.72,0.3,0.7,-1.0,0.0,1.0,3.5,2.027420981881684e-08,0.0,0.0,6.965142651686158e-09,0.0,0.0,2.6167048222033567e-09,6.48999160416919e-09,0.0,0.0,1.947266291030982e-09,4.868191305117044e-09,2.167418055422284e-09,1.7163484323788788e-09,6.756073794974615e-10,2.2007946972793257e-09,1.0960273357258963e-09,1.5488256672575287e-09,1.384967144170727e-09,9.221381293559344e-10,8.508235856340486e-10,9.88328507521015e-10,7.824860073422729e-10,7.07107794628809e-10,5.834174271375793e-10,5.710320334774053e-10,5.051816633394852e-10,3.0726188935308864e-10,3.1439695668762997e-10,3.07559756427516e-10,2.4513189242683413e-10,2.080682625508372e-10,1.683635357289193e-10,1.5346612602012392e-10,1.0883095132235561e-10,8.169240925959031e-11,7.025781236491417e-11
